description,protein,carbohydrate,fat_total_lipid,vitamin_c,iron,calcium,lowcarb,vegan,keto,highprotein
"Squash, summer, yellow, includes skin, raw",0.891,0.0,,,0.137,22.7,True,True,False,False
"Squash, winter, butternut, raw",1.15,10.5,,,0.213,21.7,True,False,False,False
"Squash, winter, acorn, raw",1.25,10.5,,,0.308,24.8,True,True,False,False
"Cabbage, bok choy, raw",1.02,3.51,,,0.439,61.9,True,True,False,False
"Cauliflower, raw",1.64,4.72,,,0.334,20.4,True,True,False,False
"Collards, raw",2.97,7.02,,,0.75,276.0,True,True,False,False
"Brussels sprouts, raw",3.98,9.62,,,0.73,38.6,True,True,False,False
"Beets, raw",1.69,8.79,,,0.428,13.8,True,True,False,False
"Eggplant, raw",0.852,5.4,,,0.0,11.1,True,False,False,False
"Tomatoes, whole, canned, solids and liquids, with salt added",0.868,4.29,,,0.929,19.8,True,True,False,False
"Tomato, sauce, canned, with salt added",1.35,6.33,,,1.11,17.1,True,True,False,False
"Tomato, paste, canned, without salt added",4.23,20.2,,,3.18,36.8,False,True,False,False
"Tomatoes, crushed, canned",1.44,7.14,,,2.27,19.2,True,True,False,False
"Tomato, puree, canned",1.58,8.04,,,1.24,17.6,True,True,False,False
"Apricot, with skin, raw",0.961,10.2,,3.07,0.163,11.6,True,True,False,False
"Melons, honeydew, raw",0.531,8.15,,15.7,0.0,6.58,True,False,False,False
"Plantains, ripe, raw",1.16,31.0,,20.1,0.319,3.82,False,True,False,False
"Plantains, underripe, raw",1.23,33.6,,18.5,0.334,4.83,False,True,False,False
"Chia seeds, dry, raw",17.0,38.3,,,6.04,595.0,False,True,False,True
"Bulgur, dry, raw",11.8,75.9,,,2.62,34.1,False,True,False,True
"Wild rice, dry, raw",12.8,75.7,,,1.53,7.97,False,True,False,True
"Arugula, baby, raw",1.65,5.37,,101.0,1.39,204.0,True,True,False,False
"Asparagus, green, raw",1.44,5.1,,9.15,0.444,20.6,True,True,False,False
"Avocado, Hass, peeled, raw",1.81,8.32,,0.0,0.613,14.5,True,True,True,False
"Rice, black, unenriched, raw",7.57,77.2,,,1.12,14.4,False,True,False,False
"Corn, sweet, yellow and white kernels,  fresh, raw",2.79,14.7,,,0.388,0.656,True,True,False,False
"Einkorn, grain, dry, raw",15.1,68.7,,,3.69,41.4,False,True,False,True
"Farro, pearled, dry, raw",12.6,72.1,,,3.2,25.9,False,True,False,True
"Fonio, grain, dry, raw",7.17,81.3,,,2.66,11.6,False,True,False,False
"Khorasan, grain, dry, raw",14.8,71.8,,,3.87,24.1,False,True,False,True
"Kiwifruit (kiwi), green, peeled, raw",1.01,13.8,,58.8,0.037,24.4,True,True,False,False
"Mandarin, seedless, peeled, raw",1.04,13.4,,21.2,0.0,44.0,True,True,False,False
"Mango, Tommy Atkins, peeled, raw",0.562,15.3,,25.5,0.0,12.4,False,True,False,False
"Mango, Ataulfo, peeled, raw",0.688,17.4,,168.0,0.0,10.0,False,True,False,False
"Corn flour, masa harina, white or yellow, dry, raw",7.56,76.7,,,1.7,112.0,False,True,False,False
"Pear, Anjou, green, with skin, raw",0.312,14.8,,5.51,0.0,9.99,True,True,False,False
